rating,product_count,total_reviews,avg_price
"(0, 1]",14,17.0,568.43
"(1, 2]",7,14.0,185.0
"(2, 3]",21,38.0,286.81
"(3, 4]",259,9819.0,279.38
"(4, 5]",602,31622.0,422.7
