brand,category,category_2,category_3,current_price,discount,image_url,is_official_store,name,old_price,rating,review_count,scraped_at,sku,source,url
Itel,Phones & Tablets,Accessories,Bluetooth Headsets,49.0,59.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel Ecouteurs Buds Neo - Black,119.0,4.4,63.0,2025-12-02 19:47:53.602534,,jumia.ma,https://www.jumia.ma/itel-ecouteurs-buds-neo-black-66411188.html
XIAOMI,Phones & Tablets,Accessories,Bluetooth Headsets,99.0,23.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI Redmi Buds 6 Play (Black),129.0,4.4,424.0,2025-12-02 19:47:53.603316,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-buds-6-play-black-65760031.html
XIAOMI,Phones & Tablets,Accessories,Batteries & Battery Packs,189.0,46.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI 20000Mah Redmi 18W Fast Charge Power Bank (Black),349.0,4.4,290.0,2025-12-02 19:47:53.603939,,jumia.ma,https://www.jumia.ma/xiaomi-20000mah-redmi-18w-fast-charge-power-bank-black-48931123.html
Itel,Phones & Tablets,Accessories,Bluetooth Headsets,49.0,59.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel Ecouteurs Buds Neo – White,119.0,4.2,30.0,2025-12-02 19:47:53.604596,,jumia.ma,https://www.jumia.ma/itel-ecouteurs-buds-neo-white-66411189.html
XIAOMI,Phones & Tablets,Accessories,Bluetooth Headsets,99.0,23.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI Redmi Buds 6 Play (White),129.0,4.4,197.0,2025-12-02 19:47:53.605254,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-buds-6-play-white-65760032.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,1229.0,18.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Samsung Galaxy A06 - 6,7"" - 128 Go - 6 Go RAM – Noir - 2 ans de garantie",1490.0,4.2,85.0,2025-12-02 19:47:53.605883,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a06-67-128-go-6-go-ram-noir-2-ans-de-garantie-66285424.html
Itel,Phones & Tablets,Mobile Phones,Smartphones,949.0,41.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel P65 - Double SIM Cyber Gris - 4 Go RAM - 128 Go ROM - 4G + BUDS Néo gratuit,1599.0,4.4,13.0,2025-12-02 19:47:53.606684,,jumia.ma,https://www.jumia.ma/itel-p65-double-sim-cyber-gris-4-go-ram-128-go-rom-4g-buds-neo-gratuit-67132078.html
Samsung,Phones & Tablets,Accessories,Wired Headsets,89.0,50.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Écouteurs USB Type-C Earphones – Noir 12 mois de garantie,178.0,4.4,96.0,2025-12-02 19:47:53.607353,,jumia.ma,https://www.jumia.ma/samsung-ecouteurs-usb-type-c-earphones-noir-12-mois-de-garantie-65712754.html
Honor,Phones & Tablets,Mobile Phones,Smartphones,899.0,18.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Honor Play10 - 64 Go - 3 Go RAM – Starry Purple,1099.0,,,2025-12-02 19:47:53.608021,,jumia.ma,https://www.jumia.ma/honor-play10-64-go-3-go-ram-starry-purple-67270889.html
Samsung,Phones & Tablets,Accessories,Batteries & Battery Packs,239.0,11.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Batterie externe 10 000 mAh sans fil,269.0,4.7,18.0,2025-12-02 19:47:53.608696,,jumia.ma,https://www.jumia.ma/samsung-batterie-externe-10-000-mah-sans-fil-65981488.html
Samsung,Phones & Tablets,Accessories,Bluetooth Headsets,399.0,20.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Galaxy buds core - Noir,499.0,4.7,3.0,2025-12-02 19:47:53.609343,,jumia.ma,https://www.jumia.ma/samsung-galaxy-buds-core-noir-67313954.html
Goui,Phones & Tablets,Accessories,Batteries & Battery Packs,219.0,45.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Goui Brave Plus Power Bank 20 000 mAh - 20W,399.0,5.0,2.0,2025-12-02 19:47:53.609959,,jumia.ma,https://www.jumia.ma/goui-brave-plus-power-bank-20-000-mah-20w-66571833.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,1229.0,18.0,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Samsung Galaxy A06 - 6,7"" - 128 Go - 6 Go RAM – Light Blue - 2 ans de garantie",1490.0,4.2,43.0,2025-12-02 19:47:53.610624,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a06-67-128-go-6-go-ram-light-blue-2-ans-de-garantie-66285423.html
