brand,category,category_2,category_3,current_price,discount,image_url,is_official_store,name,old_price,rating,review_count,scraped_at,sku,source,url
Goui,Phones & Tablets,Accessories,Batteries & Battery Packs,399.00 Dhs,,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Goui Brave Plus Power Bank 20 000 mAh - 20W,,5,2,2025-12-03T13:45:36.725452,,jumia.ma,https://www.jumia.ma/goui-brave-plus-power-bank-20-000-mah-20w-66571833.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"1,589.00 Dhs",6%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Samsung Galaxy A16 - 6.7"" - 4GB + 128GB - Black - 2 ans de garantie","1,699.00 Dhs",4.5,39,2025-12-03T13:45:36.726360,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a16-6.7-4gb-128gb-black-2-ans-de-garantie-65981495.html
Generic,Phones & Tablets,Accessories,Car Accessories,59.00 Dhs,41%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Support Téléphone de Voiture sur Pare brise Tableau bord (Ventouse ULTRA SOLIDE),100.00 Dhs,3.3,32,2025-12-03T13:45:36.727070,,jumia.ma,https://www.jumia.ma/generic-support-telephone-de-voiture-sur-pare-brise-tableau-bord-ventouse-ultra-solide-62661728.html
Soundpeats,Phones & Tablets,Accessories,Bluetooth Headsets,249.00 Dhs,38%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,"Soundpeats Q3 Pro Wireless Earbuds - Bluetooth 6.0 - 42 Hours Playtime - Call Noise Cancellation, IP55 Waterproof - ANC -38dB",399.00 Dhs,,,2025-12-03T13:45:36.727752,,jumia.ma,https://www.jumia.ma/soundpeats-q3-pro-wireless-earbuds-bluetooth-6.0-42-hours-playtime-call-noise-cancellation-ip55-waterproof-anc-38db-67336191.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"1,229.00 Dhs",18%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Samsung Galaxy A06 - 6,7"" - 128 Go - 6 Go RAM – Gold - 2 ans de garantie","1,490.00 Dhs",4.2,46,2025-12-03T13:45:36.728409,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a06-67-128-go-6-go-ram-gold-2-ans-de-garantie-66285425.html
Generic,Phones & Tablets,Accessories,Mobile Game Controllers,105.00 Dhs,65%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Manette sans fil Bluetooth 3 en 1 pour téléphone contrôleur de jeu gaming pour iOS / Android / PC / PS3 / PS4 avec support téléphone,300.00 Dhs,4.6,16,2025-12-03T13:45:36.729132,,jumia.ma,https://www.jumia.ma/generic-manette-sans-fil-bluetooth-3-en-1-pour-telephone-controleur-de-jeu-gaming-pour-ios-android-pc-ps3-ps4-avec-support-telephone-65956247.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"2,179.00 Dhs",13%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Galaxy A16 8GB + 256GB - Black - 2 ans de garantie,"2,499.00 Dhs",4.3,54,2025-12-03T13:45:36.729853,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a16-8gb-256gb-black-2-ans-de-garantie-65981498.html
Anker,Phones & Tablets,Accessories,Chargers,229.00 Dhs,43%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Anker Chargeur 45W Ace Ultra Rapide (A2643G11) – Puissance Compacte et Universelle,399.00 Dhs,5,2,2025-12-03T13:45:36.730472,,jumia.ma,https://www.jumia.ma/anker-chargeur-45w-ace-ultra-rapide-a2643g11-puissance-compacte-et-universelle-66560817.html
XIAOMI,Phones & Tablets,Mobile Phones,Smartphones,"1,099.00 Dhs",27%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI Redmi A5 4GB + 128GB - Midnight Black,"1,499.00 Dhs",3.7,17,2025-12-03T13:45:36.731119,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-a5-4gb-128gb-midnight-black-66529561.html
XIAOMI,Phones & Tablets,Mobile Phones,Smartphones,959.00 Dhs,13%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"XIAOMI Redmi A5 - 6.8"" - 3GB + 64GB - Ocean Blue","1,100.00 Dhs",4.1,11,2025-12-03T13:45:36.731721,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-a5-6.8-3gb-64gb-ocean-blue-66411341.html
Ugreen,Phones & Tablets,Accessories,Cables,56.00 Dhs,43%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Ugreen Type C 2.0 Male To Type C 2.0 Male 5A Data Cable 1m,99.00 Dhs,4.6,7,2025-12-03T13:45:36.732370,,jumia.ma,https://www.jumia.ma/ugreen-type-c-2.0-male-to-type-c-2.0-male-5a-data-cable-1m-65995240.html
XIAOMI,Phones & Tablets,Mobile Phones,Smartphones,"1,099.00 Dhs",27%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"XIAOMI Redmi A5 - 6.8"" - 4GB + 128GB - Sandy Gold","1,499.00 Dhs",4.4,9,2025-12-03T13:45:36.733023,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-a5-6.8-4gb-128gb-sandy-gold-67057788.html
Haylou,Phones & Tablets,Accessories,Bluetooth Headsets,110.00 Dhs,52%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Haylou Ecouteur bluetooth X1 Plus – Blanc,229.00 Dhs,3.3,12,2025-12-03T13:45:36.733659,,jumia.ma,https://www.jumia.ma/haylou-ecouteur-bluetooth-x1-plus-blanc-67120460.html
Generic,Phones & Tablets,Accessories,Bluetooth Accessories,85.00 Dhs,43%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Casque Stéréo Bluetooth 5.0 avec micro d'Appels et de Musique et sport,149.00 Dhs,3.7,66,2025-12-03T13:45:36.734331,,jumia.ma,https://www.jumia.ma/casque-stereo-bluetooth-5.0-avec-micro-dappels-et-de-musique-et-sport-generic-mpg1499970.html
Samsung,Phones & Tablets,Accessories,Data & Connectivity,197.00 Dhs,44%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Smart TAG 2 - Noir,349.00 Dhs,5,1,2025-12-03T13:45:36.734986,,jumia.ma,https://www.jumia.ma/samsung-smart-tag-2-noir-64211731.html
XIAOMI,Phones & Tablets,Mobile Phones,Smartphones,"1,249.00 Dhs",24%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"XIAOMI Redmi 15C 6.9""  – 4GB + 128GB - Midnight Black","1,650.00 Dhs",3,2,2025-12-03T13:45:36.735595,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-15c-6.9-4gb-128gb-midnight-black-67174444.html
Samsung,Phones & Tablets,Accessories,Chargers,129.00 Dhs,41%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Adaptateur secteur 25W (sans câble) Blanc 12 mois de garantie,219.00 Dhs,4.6,64,2025-12-03T13:45:36.736234,,jumia.ma,https://www.jumia.ma/samsung-adaptateur-secteur-25w-sans-cable-blanc-12-mois-de-garantie-65712759.html
Itel,Phones & Tablets,Tablets,Android Tablets,899.00 Dhs,18%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel Vista Tab 10 mini – 8’’ – ROM 64Go + RAM 8Go (3Go+5Go)  – Gris + Pochette Gratuite,"1,099.00 Dhs",3.7,11,2025-12-03T13:45:36.736873,,jumia.ma,https://www.jumia.ma/itel-vista-tab-10-mini-8-rom-64go-ram-8go-3go5go-gris-pochette-gratuite-66039632.html
Samsung,Phones & Tablets,Accessories,Memory Cards,159.00 Dhs,36%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Samsung Memory Card Micro SD Carte Mémoire Micro SDXC Classe 10 128 GB 130MB/s,250.00 Dhs,4.8,30,2025-12-03T13:45:36.737492,,jumia.ma,https://www.jumia.ma/samsung-memory-card-micro-sd-carte-memoire-micro-sdxc-classe-10-128-gb-130mbs-64726861.html
Generic,Phones & Tablets,Accessories,Selfie Sticks & Tripods,99.00 Dhs,34%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Ring Light 26cm + Trepied Tripod Avec Support Téléphone RingLight,150.00 Dhs,3.6,16,2025-12-03T13:45:36.738200,,jumia.ma,https://www.jumia.ma/generic-ring-light-26cm-trepied-tripod-avec-support-telephone-ringlight-64471597.html
Deep Bass,Phones & Tablets,Accessories,Headsets,106.00 Dhs,58%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Deep Bass Casque Sans Fil Bluetooth R20 avec Son Stéréo Haute Définition, Micro Intégré, Batterie Longue Durée Autonomie musicale : 7–8 heures d'autonomie  et Design Pliable",250.00 Dhs,5,1,2025-12-03T13:45:36.739021,,jumia.ma,https://www.jumia.ma/deep-bass-casque-sans-fil-bluetooth-r20-avec-son-stereo-haute-definition-micro-integre-batterie-longue-duree-autonomie-musicale-78-heures-dautonomie-et-design-pliable-67163442.html
