brand,category,category_2,category_3,current_price,discount,image_url,is_official_store,name,old_price,rating,review_count,scraped_at,sku,source,url
Itel,Phones & Tablets,Accessories,Bluetooth Headsets,49.00 Dhs,59%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel Ecouteurs Buds Neo - Black,119.00 Dhs,4.4,63,2025-12-02T19:47:53.602534,,jumia.ma,https://www.jumia.ma/itel-ecouteurs-buds-neo-black-66411188.html
XIAOMI,Phones & Tablets,Accessories,Bluetooth Headsets,99.00 Dhs,23%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI Redmi Buds 6 Play (Black),129.00 Dhs,4.4,424,2025-12-02T19:47:53.603316,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-buds-6-play-black-65760031.html
XIAOMI,Phones & Tablets,Accessories,Batteries & Battery Packs,189.00 Dhs,46%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI 20000Mah Redmi 18W Fast Charge Power Bank (Black),349.00 Dhs,4.4,290,2025-12-02T19:47:53.603939,,jumia.ma,https://www.jumia.ma/xiaomi-20000mah-redmi-18w-fast-charge-power-bank-black-48931123.html
Itel,Phones & Tablets,Accessories,Bluetooth Headsets,49.00 Dhs,59%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel Ecouteurs Buds Neo – White,119.00 Dhs,4.2,30,2025-12-02T19:47:53.604596,,jumia.ma,https://www.jumia.ma/itel-ecouteurs-buds-neo-white-66411189.html
XIAOMI,Phones & Tablets,Accessories,Bluetooth Headsets,99.00 Dhs,23%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI Redmi Buds 6 Play (White),129.00 Dhs,4.4,197,2025-12-02T19:47:53.605254,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-buds-6-play-white-65760032.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"1,229.00 Dhs",18%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Samsung Galaxy A06 - 6,7"" - 128 Go - 6 Go RAM – Noir - 2 ans de garantie","1,490.00 Dhs",4.2,85,2025-12-02T19:47:53.605883,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a06-67-128-go-6-go-ram-noir-2-ans-de-garantie-66285424.html
Itel,Phones & Tablets,Mobile Phones,Smartphones,949.00 Dhs,41%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel P65 - Double SIM Cyber Gris - 4 Go RAM - 128 Go ROM - 4G + BUDS Néo gratuit,"1,599.00 Dhs",4.4,13,2025-12-02T19:47:53.606684,,jumia.ma,https://www.jumia.ma/itel-p65-double-sim-cyber-gris-4-go-ram-128-go-rom-4g-buds-neo-gratuit-67132078.html
Samsung,Phones & Tablets,Accessories,Wired Headsets,89.00 Dhs,50%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Écouteurs USB Type-C Earphones – Noir 12 mois de garantie,178.00 Dhs,4.4,96,2025-12-02T19:47:53.607353,,jumia.ma,https://www.jumia.ma/samsung-ecouteurs-usb-type-c-earphones-noir-12-mois-de-garantie-65712754.html
Honor,Phones & Tablets,Mobile Phones,Smartphones,899.00 Dhs,18%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Honor Play10 - 64 Go - 3 Go RAM – Starry Purple,"1,099.00 Dhs",,,2025-12-02T19:47:53.608021,,jumia.ma,https://www.jumia.ma/honor-play10-64-go-3-go-ram-starry-purple-67270889.html
Samsung,Phones & Tablets,Accessories,Batteries & Battery Packs,239.00 Dhs,11%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Batterie externe 10 000 mAh sans fil,269.00 Dhs,4.7,18,2025-12-02T19:47:53.608696,,jumia.ma,https://www.jumia.ma/samsung-batterie-externe-10-000-mah-sans-fil-65981488.html
Samsung,Phones & Tablets,Accessories,Bluetooth Headsets,399.00 Dhs,20%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Galaxy buds core - Noir,499.00 Dhs,4.7,3,2025-12-02T19:47:53.609343,,jumia.ma,https://www.jumia.ma/samsung-galaxy-buds-core-noir-67313954.html
Goui,Phones & Tablets,Accessories,Batteries & Battery Packs,219.00 Dhs,45%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Goui Brave Plus Power Bank 20 000 mAh - 20W,399.00 Dhs,5,2,2025-12-02T19:47:53.609959,,jumia.ma,https://www.jumia.ma/goui-brave-plus-power-bank-20-000-mah-20w-66571833.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"1,229.00 Dhs",18%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Samsung Galaxy A06 - 6,7"" - 128 Go - 6 Go RAM – Light Blue - 2 ans de garantie","1,490.00 Dhs",4.2,43,2025-12-02T19:47:53.610624,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a06-67-128-go-6-go-ram-light-blue-2-ans-de-garantie-66285423.html
Soundpeats,Phones & Tablets,Accessories,Bluetooth Headsets,249.00 Dhs,38%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,"Soundpeats Q3 Pro Wireless Earbuds - Bluetooth 6.0 - 42 Hours Playtime - Call Noise Cancellation, IP55 Waterproof - ANC -38dB",399.00 Dhs,,,2025-12-02T19:47:53.611464,,jumia.ma,https://www.jumia.ma/soundpeats-q3-pro-wireless-earbuds-bluetooth-6.0-42-hours-playtime-call-noise-cancellation-ip55-waterproof-anc-38db-67336191.html
Deep Bass,Phones & Tablets,Accessories,Headsets,115.00 Dhs,75%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Deep Bass R8 Casque pliables Sans Fil Bluetooth Hifi, Stéréo, Mains Libres et Aux, suppression du bruit",464.00 Dhs,4.1,69,2025-12-02T19:47:53.612160,,jumia.ma,https://www.jumia.ma/deep-bass-r8-casque-pliables-sans-fil-bluetooth-hifi-stereo-mains-libres-et-aux-suppression-du-bruit-65245903.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"2,179.00 Dhs",13%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Galaxy A16 8GB + 256GB - Black - 2 ans de garantie,"2,499.00 Dhs",4.3,54,2025-12-02T19:47:53.612857,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a16-8gb-256gb-black-2-ans-de-garantie-65981498.html
XIAOMI,Phones & Tablets,Mobile Phones,Smartphones,"1,099.00 Dhs",27%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI Redmi A5 4GB + 128GB - Midnight Black,"1,499.00 Dhs",3.7,17,2025-12-02T19:47:53.613575,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-a5-4gb-128gb-midnight-black-66529561.html
Oraimo,Phones & Tablets,Accessories,Bluetooth Headsets,299.00 Dhs,,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Oraimo FreePods Neo ENC True Wireless Earbuds 50 Hour Long Playtime,,4.3,45,2025-12-02T19:47:53.614175,,jumia.ma,https://www.jumia.ma/oraimo-freepods-neo-enc-true-wireless-earbuds-50-hour-long-playtime-65690873.html
Samsung,Phones & Tablets,Accessories,Wired Headsets,89.00 Dhs,39%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Écouteurs USB Type-C Earphones – Blanc 12 mois de garantie,145.00 Dhs,4.5,43,2025-12-02T19:47:53.615027,,jumia.ma,https://www.jumia.ma/samsung-ecouteurs-usb-type-c-earphones-blanc-12-mois-de-garantie-65712755.html
Anker,Phones & Tablets,Accessories,Chargers,229.00 Dhs,43%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Anker Chargeur 45W Ace Ultra Rapide (A2643G11) – Puissance Compacte et Universelle,399.00 Dhs,5,1,2025-12-02T19:47:53.615837,,jumia.ma,https://www.jumia.ma/anker-chargeur-45w-ace-ultra-rapide-a2643g11-puissance-compacte-et-universelle-66560817.html
Generic,Phones & Tablets,Accessories,Car Accessories,49.00 Dhs,51%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Support Téléphone de Voiture sur Pare brise Tableau bord (Ventouse ULTRA SOLIDE),100.00 Dhs,3.4,31,2025-12-02T19:47:53.616513,,jumia.ma,https://www.jumia.ma/generic-support-telephone-de-voiture-sur-pare-brise-tableau-bord-ventouse-ultra-solide-62661728.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"1,229.00 Dhs",18%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Samsung Galaxy A06 - 6,7"" - 128 Go - 6 Go RAM – Gold - 2 ans de garantie","1,490.00 Dhs",4.2,46,2025-12-02T19:47:53.617293,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a06-67-128-go-6-go-ram-gold-2-ans-de-garantie-66285425.html
